,embedding1,embedding2
721,70.035034,-1.9056302
722,80.62618,-6.9347687
723,58.263206,2.3235755
724,9.740694,-20.83239
725,-32.828354,-1.3604602
726,4.5373,69.06608
727,45.74887,31.806583
728,-26.331318,-57.827656
729,37.11326,-6.5143533
730,6.3748527,-0.14529255
731,-57.171894,58.070667
732,-7.547971,12.301324
733,9.368317,73.43147
734,19.524395,79.53366
735,66.09389,12.585882
736,-55.265785,-51.324017
737,3.2643113,44.19394
738,58.628265,-47.90405
739,-69.511,38.107063
740,21.809023,-23.894398
741,18.404125,40.024975
742,-6.3221445,-1.0235928
743,5.821435,-6.1873493
744,67.293465,42.905605
745,-57.32047,-40.920773
746,-37.11725,14.483899
747,-14.0500345,-81.41206
748,45.75502,-49.750713
749,-68.40887,-19.08108
750,13.625959,24.848547
751,-49.3107,56.98699
752,-48.416157,-16.6688
753,23.37829,-11.388558
754,-60.558475,-50.532497
755,37.20116,-52.025288
756,-56.540207,61.180138
757,19.566141,79.56804
758,18.239256,31.62772
759,-52.35485,59.7073
760,36.365578,-7.199501
761,-7.804914,50.598297
762,77.19849,11.446149
763,71.44191,44.181946
764,-38.889263,-28.093393
765,-77.79084,-20.707827
766,73.881935,-19.09808
767,44.20709,43.87195
768,52.551304,40.013824
769,-16.00018,-47.4413
770,-10.558597,-60.37436
771,30.084673,-24.834347
772,-5.755976,-80.79058
773,27.013556,1.9599452
774,37.262714,25.423973
775,15.516885,-0.47341815
776,36.791615,9.094607
777,4.983483,-18.161814
778,33.075928,-50.376644
779,19.038116,-46.72502
780,9.52042,80.46258
781,15.21554,11.447736
782,-30.799309,36.437336
783,36.212646,-15.985232
784,-61.60977,-3.8168893
785,-24.90519,7.20758
786,37.6646,-41.463573
787,-19.250116,-55.777576
788,-26.26562,-2.380935
789,10.5496235,49.490902
790,9.15719,47.034843
791,-13.661579,11.787634
792,-46.876137,-71.873055
793,71.75135,0.7950089
794,-23.119987,-49.960083
795,7.108868,24.408646
796,31.924513,69.64926
797,41.563477,26.456749
798,8.079344,46.92226
799,-42.75647,37.20747
800,54.271263,-29.236593
801,42.186157,-28.437101
802,-63.87021,28.08182
803,-81.74445,-2.7893982
804,-56.758427,12.118937
805,-61.256462,46.300915
806,22.054289,37.61676
807,-34.397713,-47.67374
808,6.012492,49.289192
809,31.377277,-26.256142
